Date,Time,Time24,Temp F,Temp C,Corrected Temp C
6/19/15,12:00,0:00,81.199,27.33277778,27.13312348
6/19/15,12:15,0:15,81.154,27.30777778,27.10812348
6/19/15,12:30,0:30,81.154,27.30777778,27.10812348
6/19/15,12:45,0:45,81.111,27.28388889,27.08423459
6/19/15,1:00,1:00,81.111,27.28388889,27.08423459
6/19/15,1:15,1:15,81.111,27.28388889,27.08423459
6/19/15,1:30,1:30,81.066,27.25888889,27.05923459
6/19/15,1:45,1:45,81.023,27.235,27.0353457
6/19/15,2:00,2:00,81.023,27.235,27.0353457
6/19/15,2:15,2:15,80.978,27.21,27.0103457
6/19/15,2:30,2:30,80.978,27.21,27.0103457
6/19/15,2:45,2:45,80.935,27.18611111,26.98645681
6/19/15,3:00,3:00,80.935,27.18611111,26.98645681
6/19/15,3:15,3:15,80.935,27.18611111,26.98645681
6/19/15,3:30,3:30,80.935,27.18611111,26.98645681
6/19/15,3:45,3:45,80.89,27.16111111,26.96145681
6/19/15,4:00,4:00,80.89,27.16111111,26.96145681
6/19/15,4:15,4:15,80.89,27.16111111,26.96145681
6/19/15,4:30,4:30,80.845,27.13611111,26.93645681
6/19/15,4:45,4:45,80.89,27.16111111,26.96145681
6/19/15,5:00,5:00,80.89,27.16111111,26.96145681
6/19/15,5:15,5:15,80.845,27.13611111,26.93645681
6/19/15,5:30,5:30,80.845,27.13611111,26.93645681
6/19/15,5:45,5:45,80.845,27.13611111,26.93645681
6/19/15,6:00,6:00,80.845,27.13611111,26.93645681
6/19/15,6:15,6:15,80.845,27.13611111,26.93645681
6/19/15,6:30,6:30,80.845,27.13611111,26.93645681
6/19/15,6:45,6:45,80.845,27.13611111,26.93645681
6/19/15,7:00,7:00,80.845,27.13611111,26.93645681
6/19/15,7:15,7:15,80.845,27.13611111,26.93645681
6/19/15,7:30,7:30,80.845,27.13611111,26.93645681
6/19/15,7:45,7:45,80.845,27.13611111,26.93645681
6/19/15,8:00,8:00,80.89,27.16111111,26.96145681
6/19/15,8:15,8:15,80.935,27.18611111,26.98645681
6/19/15,8:30,8:30,80.935,27.18611111,26.98645681
6/19/15,8:45,8:45,80.978,27.21,27.0103457
6/19/15,9:00,9:00,81.023,27.235,27.0353457
6/19/15,9:15,9:15,81.023,27.235,27.0353457
6/19/15,9:30,9:30,81.023,27.235,27.0353457
6/19/15,9:45,9:45,80.978,27.21,27.0103457
6/19/15,10:00,10:00,80.978,27.21,27.0103457
6/19/15,10:15,10:15,81.023,27.235,27.0353457
